昵称,点赞数,IP属地,评论
热心爱好和平,3,安徽,小蝌蚪找妈妈嘛！不可思议！
饕餮海deyu,2,甘肃,好评论！[赞]
神秘柑桔QL,1,重庆,谁先出兵打乌克兰？没有事非之分？悲哀悲哀？
81011838,2,山东,无语
aaLIEz,9,安徽,[呲牙][呲牙][呲牙][呲牙][呲牙]
今晚我没空616,2,上海,[吐][吐][吐][吐]
街头花园的迷茫,2,内蒙古,看历史知道今天，看今天但是也还能预测未来走向
桐桐的生活笔记,7,山东,苏联侵犯波兰
故乡暮色中的残菊,3,四川,哈哈，我是来看评论的
快乐人生139963782,2,黑龙江,美国执意要将乌克兰纳入北约，俄乌战争三个年头了，乌克兰咋还没加入北约呢？
简单原野fE,1,浙江,俄罗斯赶紧退出乌克兰，美国的攻火不就做不成了吗？美国的阴谋不就破产了吗。
虎啸山河-才智无疑是幸福首要条件,5,山东,奇奇怪怪
安逸天空tF,1,重庆,美国曾经也中日战争的拱火者。
唐古风歌,1,广西,欧美不援乌，乌会变成啥样？请专家说道说道
无双湖泊hM,1,北京,美国停止提供武器，俄罗斯能退出乌克兰领土吗
二大爷卖姜,2,河南,不是俄罗斯在打乌克兰吗？得有1％的责任吧
完美世界BAI,6,广东,握草
执着的星球GG,2,山东,懒得评论了
真名都被占用,2,山东,国际问题观察员 章思远：本月任务终于完成了，交卷。下个月继续！
热心爱好和平,3,安徽,小蝌蚪找妈妈嘛！不可思议！
饕餮海deyu,2,甘肃,好评论！[赞]
神秘柑桔QL,1,重庆,谁先出兵打乌克兰？没有事非之分？悲哀悲哀？
81011838,2,山东,无语
aaLIEz,9,安徽,[呲牙][呲牙][呲牙][呲牙][呲牙]
今晚我没空616,2,上海,[吐][吐][吐][吐]
街头花园的迷茫,2,内蒙古,看历史知道今天，看今天但是也还能预测未来走向
桐桐的生活笔记,7,山东,苏联侵犯波兰
故乡暮色中的残菊,3,四川,哈哈，我是来看评论的
快乐人生139963782,2,黑龙江,美国执意要将乌克兰纳入北约，俄乌战争三个年头了，乌克兰咋还没加入北约呢？
简单原野fE,1,浙江,俄罗斯赶紧退出乌克兰，美国的攻火不就做不成了吗？美国的阴谋不就破产了吗。
虎啸山河-才智无疑是幸福首要条件,5,山东,奇奇怪怪
安逸天空tF,1,重庆,美国曾经也中日战争的拱火者。
唐古风歌,1,广西,欧美不援乌，乌会变成啥样？请专家说道说道
无双湖泊hM,1,北京,美国停止提供武器，俄罗斯能退出乌克兰领土吗
洞穴囚徒C,8,江苏,哈哈哈
完美世界BAI,6,广东,握草
执着的星球GG,2,山东,懒得评论了
真名都被占用,2,山东,国际问题观察员 章思远：本月任务终于完成了，交卷。下个月继续！
热心爱好和平,3,安徽,小蝌蚪找妈妈嘛！不可思议！
饕餮海deyu,2,甘肃,好评论！[赞]
神秘柑桔QL,1,重庆,谁先出兵打乌克兰？没有事非之分？悲哀悲哀？
81011838,2,山东,无语
aaLIEz,9,安徽,[呲牙][呲牙][呲牙][呲牙][呲牙]
今晚我没空616,2,上海,[吐][吐][吐][吐]
街头花园的迷茫,2,内蒙古,看历史知道今天，看今天但是也还能预测未来走向
桐桐的生活笔记,7,山东,苏联侵犯波兰
故乡暮色中的残菊,3,四川,哈哈，我是来看评论的
快乐人生139963782,2,黑龙江,美国执意要将乌克兰纳入北约，俄乌战争三个年头了，乌克兰咋还没加入北约呢？
简单原野fE,1,浙江,俄罗斯赶紧退出乌克兰，美国的攻火不就做不成了吗？美国的阴谋不就破产了吗。
虎啸山河-才智无疑是幸福首要条件,5,山东,奇奇怪怪
安逸天空tF,1,重庆,美国曾经也中日战争的拱火者。
唐古风歌,1,广西,欧美不援乌，乌会变成啥样？请专家说道说道
无双湖泊hM,1,北京,美国停止提供武器，俄罗斯能退出乌克兰领土吗
洞穴囚徒C,8,江苏,哈哈哈
老周记录生活,8,上海,话风实变，说明什么呢
执着的星球GG,2,山东,懒得评论了
真名都被占用,2,山东,国际问题观察员 章思远：本月任务终于完成了，交卷。下个月继续！
热心爱好和平,3,安徽,小蝌蚪找妈妈嘛！不可思议！
饕餮海deyu,2,甘肃,好评论！[赞]
神秘柑桔QL,1,重庆,谁先出兵打乌克兰？没有事非之分？悲哀悲哀？
81011838,2,山东,无语
aaLIEz,9,安徽,[呲牙][呲牙][呲牙][呲牙][呲牙]
今晚我没空616,2,上海,[吐][吐][吐][吐]
街头花园的迷茫,2,内蒙古,看历史知道今天，看今天但是也还能预测未来走向
桐桐的生活笔记,7,山东,苏联侵犯波兰
故乡暮色中的残菊,3,四川,哈哈，我是来看评论的
快乐人生139963782,2,黑龙江,美国执意要将乌克兰纳入北约，俄乌战争三个年头了，乌克兰咋还没加入北约呢？
简单原野fE,1,浙江,俄罗斯赶紧退出乌克兰，美国的攻火不就做不成了吗？美国的阴谋不就破产了吗。
虎啸山河-才智无疑是幸福首要条件,5,山东,奇奇怪怪
安逸天空tF,1,重庆,美国曾经也中日战争的拱火者。
唐古风歌,1,广西,欧美不援乌，乌会变成啥样？请专家说道说道
无双湖泊hM,1,北京,美国停止提供武器，俄罗斯能退出乌克兰领土吗
洞穴囚徒C,8,江苏,哈哈哈
老周记录生活,8,上海,话风实变，说明什么呢
快跑,2,四川,两年前还没打的时候美国和俄国是怎么说的？
真名都被占用,2,山东,国际问题观察员 章思远：本月任务终于完成了，交卷。下个月继续！
热心爱好和平,3,安徽,小蝌蚪找妈妈嘛！不可思议！
饕餮海deyu,2,甘肃,好评论！[赞]
神秘柑桔QL,1,重庆,谁先出兵打乌克兰？没有事非之分？悲哀悲哀？
81011838,2,山东,无语
aaLIEz,9,安徽,[呲牙][呲牙][呲牙][呲牙][呲牙]
今晚我没空616,2,上海,[吐][吐][吐][吐]
街头花园的迷茫,2,内蒙古,看历史知道今天，看今天但是也还能预测未来走向
桐桐的生活笔记,7,山东,苏联侵犯波兰
故乡暮色中的残菊,3,四川,哈哈，我是来看评论的
快乐人生139963782,2,黑龙江,美国执意要将乌克兰纳入北约，俄乌战争三个年头了，乌克兰咋还没加入北约呢？
简单原野fE,1,浙江,俄罗斯赶紧退出乌克兰，美国的攻火不就做不成了吗？美国的阴谋不就破产了吗。
虎啸山河-才智无疑是幸福首要条件,5,山东,奇奇怪怪
安逸天空tF,1,重庆,美国曾经也中日战争的拱火者。
唐古风歌,1,广西,欧美不援乌，乌会变成啥样？请专家说道说道
无双湖泊hM,1,北京,美国停止提供武器，俄罗斯能退出乌克兰领土吗
洞穴囚徒C,8,江苏,哈哈哈
老周记录生活,8,上海,话风实变，说明什么呢
快跑,2,四川,两年前还没打的时候美国和俄国是怎么说的？
王哥9802,1,四川,逻辑
热心爱好和平,3,安徽,小蝌蚪找妈妈嘛！不可思议！
饕餮海deyu,2,甘肃,好评论！[赞]
神秘柑桔QL,1,重庆,谁先出兵打乌克兰？没有事非之分？悲哀悲哀？
81011838,2,山东,无语
aaLIEz,9,安徽,[呲牙][呲牙][呲牙][呲牙][呲牙]
今晚我没空616,2,上海,[吐][吐][吐][吐]
街头花园的迷茫,2,内蒙古,看历史知道今天，看今天但是也还能预测未来走向
桐桐的生活笔记,7,山东,苏联侵犯波兰
故乡暮色中的残菊,3,四川,哈哈，我是来看评论的
快乐人生139963782,2,黑龙江,美国执意要将乌克兰纳入北约，俄乌战争三个年头了，乌克兰咋还没加入北约呢？
简单原野fE,1,浙江,俄罗斯赶紧退出乌克兰，美国的攻火不就做不成了吗？美国的阴谋不就破产了吗。
虎啸山河-才智无疑是幸福首要条件,5,山东,奇奇怪怪
安逸天空tF,1,重庆,美国曾经也中日战争的拱火者。
唐古风歌,1,广西,欧美不援乌，乌会变成啥样？请专家说道说道
无双湖泊hM,1,北京,美国停止提供武器，俄罗斯能退出乌克兰领土吗
洞穴囚徒C,8,江苏,哈哈哈
老周记录生活,8,上海,话风实变，说明什么呢
快跑,2,四川,两年前还没打的时候美国和俄国是怎么说的？
王哥9802,1,四川,逻辑
最爱萍果园,1,山东,万事不决看英国
饕餮海deyu,2,甘肃,好评论！[赞]
神秘柑桔QL,1,重庆,谁先出兵打乌克兰？没有事非之分？悲哀悲哀？
81011838,2,山东,无语
aaLIEz,9,安徽,[呲牙][呲牙][呲牙][呲牙][呲牙]
今晚我没空616,2,上海,[吐][吐][吐][吐]
街头花园的迷茫,2,内蒙古,看历史知道今天，看今天但是也还能预测未来走向
桐桐的生活笔记,7,山东,苏联侵犯波兰
故乡暮色中的残菊,3,四川,哈哈，我是来看评论的
快乐人生139963782,2,黑龙江,美国执意要将乌克兰纳入北约，俄乌战争三个年头了，乌克兰咋还没加入北约呢？
简单原野fE,1,浙江,俄罗斯赶紧退出乌克兰，美国的攻火不就做不成了吗？美国的阴谋不就破产了吗。
虎啸山河-才智无疑是幸福首要条件,5,山东,奇奇怪怪
安逸天空tF,1,重庆,美国曾经也中日战争的拱火者。
唐古风歌,1,广西,欧美不援乌，乌会变成啥样？请专家说道说道
无双湖泊hM,1,北京,美国停止提供武器，俄罗斯能退出乌克兰领土吗
洞穴囚徒C,8,江苏,哈哈哈
老周记录生活,8,上海,话风实变，说明什么呢
快跑,2,四川,两年前还没打的时候美国和俄国是怎么说的？
王哥9802,1,四川,逻辑
最爱萍果园,1,山东,万事不决看英国
小新,2,辽宁,手伸的太长了
神秘柑桔QL,1,重庆,谁先出兵打乌克兰？没有事非之分？悲哀悲哀？
81011838,2,山东,无语
aaLIEz,9,安徽,[呲牙][呲牙][呲牙][呲牙][呲牙]
今晚我没空616,2,上海,[吐][吐][吐][吐]
街头花园的迷茫,2,内蒙古,看历史知道今天，看今天但是也还能预测未来走向
桐桐的生活笔记,7,山东,苏联侵犯波兰
故乡暮色中的残菊,3,四川,哈哈，我是来看评论的
快乐人生139963782,2,黑龙江,美国执意要将乌克兰纳入北约，俄乌战争三个年头了，乌克兰咋还没加入北约呢？
简单原野fE,1,浙江,俄罗斯赶紧退出乌克兰，美国的攻火不就做不成了吗？美国的阴谋不就破产了吗。
虎啸山河-才智无疑是幸福首要条件,5,山东,奇奇怪怪
安逸天空tF,1,重庆,美国曾经也中日战争的拱火者。
唐古风歌,1,广西,欧美不援乌，乌会变成啥样？请专家说道说道
无双湖泊hM,1,北京,美国停止提供武器，俄罗斯能退出乌克兰领土吗
洞穴囚徒C,8,江苏,哈哈哈
老周记录生活,8,上海,话风实变，说明什么呢
快跑,2,四川,两年前还没打的时候美国和俄国是怎么说的？
王哥9802,1,四川,逻辑
最爱萍果园,1,山东,万事不决看英国
小新,2,辽宁,手伸的太长了
蓝兔画江山,1,辽宁,[抠鼻]哦
81011838,2,山东,无语
aaLIEz,9,安徽,[呲牙][呲牙][呲牙][呲牙][呲牙]
今晚我没空616,2,上海,[吐][吐][吐][吐]
街头花园的迷茫,2,内蒙古,看历史知道今天，看今天但是也还能预测未来走向
桐桐的生活笔记,7,山东,苏联侵犯波兰
故乡暮色中的残菊,3,四川,哈哈，我是来看评论的
快乐人生139963782,2,黑龙江,美国执意要将乌克兰纳入北约，俄乌战争三个年头了，乌克兰咋还没加入北约呢？
简单原野fE,1,浙江,俄罗斯赶紧退出乌克兰，美国的攻火不就做不成了吗？美国的阴谋不就破产了吗。
虎啸山河-才智无疑是幸福首要条件,5,山东,奇奇怪怪
安逸天空tF,1,重庆,美国曾经也中日战争的拱火者。
唐古风歌,1,广西,欧美不援乌，乌会变成啥样？请专家说道说道
无双湖泊hM,1,北京,美国停止提供武器，俄罗斯能退出乌克兰领土吗
洞穴囚徒C,8,江苏,哈哈哈
老周记录生活,8,上海,话风实变，说明什么呢
快跑,2,四川,两年前还没打的时候美国和俄国是怎么说的？
王哥9802,1,四川,逻辑
最爱萍果园,1,山东,万事不决看英国
小新,2,辽宁,手伸的太长了
蓝兔画江山,1,辽宁,[抠鼻]哦
高冷辰星Be,1,河北,美国能控制大鹅出兵吗？
aaLIEz,9,安徽,[呲牙][呲牙][呲牙][呲牙][呲牙]
今晚我没空616,2,上海,[吐][吐][吐][吐]
街头花园的迷茫,2,内蒙古,看历史知道今天，看今天但是也还能预测未来走向
桐桐的生活笔记,7,山东,苏联侵犯波兰
故乡暮色中的残菊,3,四川,哈哈，我是来看评论的
快乐人生139963782,2,黑龙江,美国执意要将乌克兰纳入北约，俄乌战争三个年头了，乌克兰咋还没加入北约呢？
简单原野fE,1,浙江,俄罗斯赶紧退出乌克兰，美国的攻火不就做不成了吗？美国的阴谋不就破产了吗。
虎啸山河-才智无疑是幸福首要条件,5,山东,奇奇怪怪
安逸天空tF,1,重庆,美国曾经也中日战争的拱火者。
唐古风歌,1,广西,欧美不援乌，乌会变成啥样？请专家说道说道
无双湖泊hM,1,北京,美国停止提供武器，俄罗斯能退出乌克兰领土吗
洞穴囚徒C,8,江苏,哈哈哈
老周记录生活,8,上海,话风实变，说明什么呢
快跑,2,四川,两年前还没打的时候美国和俄国是怎么说的？
王哥9802,1,四川,逻辑
最爱萍果园,1,山东,万事不决看英国
小新,2,辽宁,手伸的太长了
蓝兔画江山,1,辽宁,[抠鼻]哦
高冷辰星Be,1,河北,美国能控制大鹅出兵吗？
热情的露珠I9,8,甘肃,言不及义
今晚我没空616,2,上海,[吐][吐][吐][吐]
街头花园的迷茫,2,内蒙古,看历史知道今天，看今天但是也还能预测未来走向
桐桐的生活笔记,7,山东,苏联侵犯波兰
故乡暮色中的残菊,3,四川,哈哈，我是来看评论的
快乐人生139963782,2,黑龙江,美国执意要将乌克兰纳入北约，俄乌战争三个年头了，乌克兰咋还没加入北约呢？
简单原野fE,1,浙江,俄罗斯赶紧退出乌克兰，美国的攻火不就做不成了吗？美国的阴谋不就破产了吗。
虎啸山河-才智无疑是幸福首要条件,5,山东,奇奇怪怪
安逸天空tF,1,重庆,美国曾经也中日战争的拱火者。
唐古风歌,1,广西,欧美不援乌，乌会变成啥样？请专家说道说道
无双湖泊hM,1,北京,美国停止提供武器，俄罗斯能退出乌克兰领土吗
洞穴囚徒C,8,江苏,哈哈哈
老周记录生活,8,上海,话风实变，说明什么呢
快跑,2,四川,两年前还没打的时候美国和俄国是怎么说的？
王哥9802,1,四川,逻辑
最爱萍果园,1,山东,万事不决看英国
小新,2,辽宁,手伸的太长了
蓝兔画江山,1,辽宁,[抠鼻]哦
高冷辰星Be,1,河北,美国能控制大鹅出兵吗？
热情的露珠I9,8,甘肃,言不及义
醉美诗文poetry,1,山东,能不能不这么搞笑？
街头花园的迷茫,2,内蒙古,看历史知道今天，看今天但是也还能预测未来走向
桐桐的生活笔记,7,山东,苏联侵犯波兰
故乡暮色中的残菊,3,四川,哈哈，我是来看评论的
快乐人生139963782,2,黑龙江,美国执意要将乌克兰纳入北约，俄乌战争三个年头了，乌克兰咋还没加入北约呢？
简单原野fE,1,浙江,俄罗斯赶紧退出乌克兰，美国的攻火不就做不成了吗？美国的阴谋不就破产了吗。
虎啸山河-才智无疑是幸福首要条件,5,山东,奇奇怪怪
安逸天空tF,1,重庆,美国曾经也中日战争的拱火者。
唐古风歌,1,广西,欧美不援乌，乌会变成啥样？请专家说道说道
无双湖泊hM,1,北京,美国停止提供武器，俄罗斯能退出乌克兰领土吗
洞穴囚徒C,8,江苏,哈哈哈
老周记录生活,8,上海,话风实变，说明什么呢
快跑,2,四川,两年前还没打的时候美国和俄国是怎么说的？
王哥9802,1,四川,逻辑
最爱萍果园,1,山东,万事不决看英国
小新,2,辽宁,手伸的太长了
蓝兔画江山,1,辽宁,[抠鼻]哦
高冷辰星Be,1,河北,美国能控制大鹅出兵吗？
热情的露珠I9,8,甘肃,言不及义
醉美诗文poetry,1,山东,能不能不这么搞笑？
立体车库配件专业制造,6,河北,逻辑不同
桐桐的生活笔记,7,山东,苏联侵犯波兰
故乡暮色中的残菊,3,四川,哈哈，我是来看评论的
快乐人生139963782,2,黑龙江,美国执意要将乌克兰纳入北约，俄乌战争三个年头了，乌克兰咋还没加入北约呢？
简单原野fE,1,浙江,俄罗斯赶紧退出乌克兰，美国的攻火不就做不成了吗？美国的阴谋不就破产了吗。
虎啸山河-才智无疑是幸福首要条件,5,山东,奇奇怪怪
安逸天空tF,1,重庆,美国曾经也中日战争的拱火者。
唐古风歌,1,广西,欧美不援乌，乌会变成啥样？请专家说道说道
无双湖泊hM,1,北京,美国停止提供武器，俄罗斯能退出乌克兰领土吗
洞穴囚徒C,8,江苏,哈哈哈
老周记录生活,8,上海,话风实变，说明什么呢
快跑,2,四川,两年前还没打的时候美国和俄国是怎么说的？
王哥9802,1,四川,逻辑
最爱萍果园,1,山东,万事不决看英国
小新,2,辽宁,手伸的太长了
蓝兔画江山,1,辽宁,[抠鼻]哦
高冷辰星Be,1,河北,美国能控制大鹅出兵吗？
热情的露珠I9,8,甘肃,言不及义
醉美诗文poetry,1,山东,能不能不这么搞笑？
立体车库配件专业制造,6,河北,逻辑不同
爱上唐诗宋词,7,山东,无语
故乡暮色中的残菊,3,四川,哈哈，我是来看评论的
快乐人生139963782,2,黑龙江,美国执意要将乌克兰纳入北约，俄乌战争三个年头了，乌克兰咋还没加入北约呢？
简单原野fE,1,浙江,俄罗斯赶紧退出乌克兰，美国的攻火不就做不成了吗？美国的阴谋不就破产了吗。
虎啸山河-才智无疑是幸福首要条件,5,山东,奇奇怪怪
安逸天空tF,1,重庆,美国曾经也中日战争的拱火者。
唐古风歌,1,广西,欧美不援乌，乌会变成啥样？请专家说道说道
无双湖泊hM,1,北京,美国停止提供武器，俄罗斯能退出乌克兰领土吗
洞穴囚徒C,8,江苏,哈哈哈
老周记录生活,8,上海,话风实变，说明什么呢
快跑,2,四川,两年前还没打的时候美国和俄国是怎么说的？
王哥9802,1,四川,逻辑
最爱萍果园,1,山东,万事不决看英国
小新,2,辽宁,手伸的太长了
蓝兔画江山,1,辽宁,[抠鼻]哦
高冷辰星Be,1,河北,美国能控制大鹅出兵吗？
热情的露珠I9,8,甘肃,言不及义
醉美诗文poetry,1,山东,能不能不这么搞笑？
立体车库配件专业制造,6,河北,逻辑不同
爱上唐诗宋词,7,山东,无语
咯嗯可口可乐了,1,山东,美国入侵了乌克兰了呗！
快乐人生139963782,2,黑龙江,美国执意要将乌克兰纳入北约，俄乌战争三个年头了，乌克兰咋还没加入北约呢？
简单原野fE,1,浙江,俄罗斯赶紧退出乌克兰，美国的攻火不就做不成了吗？美国的阴谋不就破产了吗。
虎啸山河-才智无疑是幸福首要条件,5,山东,奇奇怪怪
安逸天空tF,1,重庆,美国曾经也中日战争的拱火者。
唐古风歌,1,广西,欧美不援乌，乌会变成啥样？请专家说道说道
无双湖泊hM,1,北京,美国停止提供武器，俄罗斯能退出乌克兰领土吗
洞穴囚徒C,8,江苏,哈哈哈
老周记录生活,8,上海,话风实变，说明什么呢
快跑,2,四川,两年前还没打的时候美国和俄国是怎么说的？
王哥9802,1,四川,逻辑
最爱萍果园,1,山东,万事不决看英国
小新,2,辽宁,手伸的太长了
蓝兔画江山,1,辽宁,[抠鼻]哦
高冷辰星Be,1,河北,美国能控制大鹅出兵吗？
热情的露珠I9,8,甘肃,言不及义
醉美诗文poetry,1,山东,能不能不这么搞笑？
立体车库配件专业制造,6,河北,逻辑不同
爱上唐诗宋词,7,山东,无语
咯嗯可口可乐了,1,山东,美国入侵了乌克兰了呗！
数字交流,7,湖北,俄罗斯的忍耐程度我至今佩服！
简单原野fE,1,浙江,俄罗斯赶紧退出乌克兰，美国的攻火不就做不成了吗？美国的阴谋不就破产了吗。
虎啸山河-才智无疑是幸福首要条件,5,山东,奇奇怪怪
安逸天空tF,1,重庆,美国曾经也中日战争的拱火者。
唐古风歌,1,广西,欧美不援乌，乌会变成啥样？请专家说道说道
无双湖泊hM,1,北京,美国停止提供武器，俄罗斯能退出乌克兰领土吗
洞穴囚徒C,8,江苏,哈哈哈
老周记录生活,8,上海,话风实变，说明什么呢
快跑,2,四川,两年前还没打的时候美国和俄国是怎么说的？
王哥9802,1,四川,逻辑
最爱萍果园,1,山东,万事不决看英国
小新,2,辽宁,手伸的太长了
蓝兔画江山,1,辽宁,[抠鼻]哦
高冷辰星Be,1,河北,美国能控制大鹅出兵吗？
热情的露珠I9,8,甘肃,言不及义
醉美诗文poetry,1,山东,能不能不这么搞笑？
立体车库配件专业制造,6,河北,逻辑不同
爱上唐诗宋词,7,山东,无语
咯嗯可口可乐了,1,山东,美国入侵了乌克兰了呗！
数字交流,7,湖北,俄罗斯的忍耐程度我至今佩服！
秋之离歌,1,上海,原来是美国入侵了乌克兰？[捂脸]
虎啸山河-才智无疑是幸福首要条件,5,山东,奇奇怪怪
安逸天空tF,1,重庆,美国曾经也中日战争的拱火者。
唐古风歌,1,广西,欧美不援乌，乌会变成啥样？请专家说道说道
无双湖泊hM,1,北京,美国停止提供武器，俄罗斯能退出乌克兰领土吗
洞穴囚徒C,8,江苏,哈哈哈
老周记录生活,8,上海,话风实变，说明什么呢
快跑,2,四川,两年前还没打的时候美国和俄国是怎么说的？
王哥9802,1,四川,逻辑
最爱萍果园,1,山东,万事不决看英国
小新,2,辽宁,手伸的太长了
蓝兔画江山,1,辽宁,[抠鼻]哦
高冷辰星Be,1,河北,美国能控制大鹅出兵吗？
热情的露珠I9,8,甘肃,言不及义
醉美诗文poetry,1,山东,能不能不这么搞笑？
立体车库配件专业制造,6,河北,逻辑不同
爱上唐诗宋词,7,山东,无语
咯嗯可口可乐了,1,山东,美国入侵了乌克兰了呗！
数字交流,7,湖北,俄罗斯的忍耐程度我至今佩服！
秋之离歌,1,上海,原来是美国入侵了乌克兰？[捂脸]
足智多谋铅笔TM,2,山东,我不信了。
安逸天空tF,1,重庆,美国曾经也中日战争的拱火者。
唐古风歌,1,广西,欧美不援乌，乌会变成啥样？请专家说道说道
无双湖泊hM,1,北京,美国停止提供武器，俄罗斯能退出乌克兰领土吗
洞穴囚徒C,8,江苏,哈哈哈
老周记录生活,8,上海,话风实变，说明什么呢
快跑,2,四川,两年前还没打的时候美国和俄国是怎么说的？
王哥9802,1,四川,逻辑
最爱萍果园,1,山东,万事不决看英国
小新,2,辽宁,手伸的太长了
蓝兔画江山,1,辽宁,[抠鼻]哦
高冷辰星Be,1,河北,美国能控制大鹅出兵吗？
热情的露珠I9,8,甘肃,言不及义
醉美诗文poetry,1,山东,能不能不这么搞笑？
立体车库配件专业制造,6,河北,逻辑不同
爱上唐诗宋词,7,山东,无语
咯嗯可口可乐了,1,山东,美国入侵了乌克兰了呗！
数字交流,7,湖北,俄罗斯的忍耐程度我至今佩服！
秋之离歌,1,上海,原来是美国入侵了乌克兰？[捂脸]
足智多谋铅笔TM,2,山东,我不信了。
忆江南yue,1,浙江,说的没错，是美国先让普京打乌克兰，然后美国又让泽连斯基抵抗，这美国真坏
唐古风歌,1,广西,欧美不援乌，乌会变成啥样？请专家说道说道
无双湖泊hM,1,北京,美国停止提供武器，俄罗斯能退出乌克兰领土吗
洞穴囚徒C,8,江苏,哈哈哈
老周记录生活,8,上海,话风实变，说明什么呢
快跑,2,四川,两年前还没打的时候美国和俄国是怎么说的？
王哥9802,1,四川,逻辑
最爱萍果园,1,山东,万事不决看英国
小新,2,辽宁,手伸的太长了
蓝兔画江山,1,辽宁,[抠鼻]哦
高冷辰星Be,1,河北,美国能控制大鹅出兵吗？
热情的露珠I9,8,甘肃,言不及义
醉美诗文poetry,1,山东,能不能不这么搞笑？
立体车库配件专业制造,6,河北,逻辑不同
爱上唐诗宋词,7,山东,无语
咯嗯可口可乐了,1,山东,美国入侵了乌克兰了呗！
数字交流,7,湖北,俄罗斯的忍耐程度我至今佩服！
秋之离歌,1,上海,原来是美国入侵了乌克兰？[捂脸]
足智多谋铅笔TM,2,山东,我不信了。
忆江南yue,1,浙江,说的没错，是美国先让普京打乌克兰，然后美国又让泽连斯基抵抗，这美国真坏
博学多才的苹果W1,1,湖南,伊拉克新闻发言人哈可夫有一比
无双湖泊hM,1,北京,美国停止提供武器，俄罗斯能退出乌克兰领土吗
洞穴囚徒C,8,江苏,哈哈哈
老周记录生活,8,上海,话风实变，说明什么呢
快跑,2,四川,两年前还没打的时候美国和俄国是怎么说的？
王哥9802,1,四川,逻辑
最爱萍果园,1,山东,万事不决看英国
小新,2,辽宁,手伸的太长了
蓝兔画江山,1,辽宁,[抠鼻]哦
高冷辰星Be,1,河北,美国能控制大鹅出兵吗？
热情的露珠I9,8,甘肃,言不及义
醉美诗文poetry,1,山东,能不能不这么搞笑？
立体车库配件专业制造,6,河北,逻辑不同
爱上唐诗宋词,7,山东,无语
咯嗯可口可乐了,1,山东,美国入侵了乌克兰了呗！
数字交流,7,湖北,俄罗斯的忍耐程度我至今佩服！
秋之离歌,1,上海,原来是美国入侵了乌克兰？[捂脸]
足智多谋铅笔TM,2,山东,我不信了。
忆江南yue,1,浙江,说的没错，是美国先让普京打乌克兰，然后美国又让泽连斯基抵抗，这美国真坏
博学多才的苹果W1,1,湖南,伊拉克新闻发言人哈可夫有一比
羊驼的翅膀,2,贵州,哈哈
洞穴囚徒C,8,江苏,哈哈哈
老周记录生活,8,上海,话风实变，说明什么呢
快跑,2,四川,两年前还没打的时候美国和俄国是怎么说的？
王哥9802,1,四川,逻辑
最爱萍果园,1,山东,万事不决看英国
小新,2,辽宁,手伸的太长了
蓝兔画江山,1,辽宁,[抠鼻]哦
高冷辰星Be,1,河北,美国能控制大鹅出兵吗？
热情的露珠I9,8,甘肃,言不及义
醉美诗文poetry,1,山东,能不能不这么搞笑？
立体车库配件专业制造,6,河北,逻辑不同
爱上唐诗宋词,7,山东,无语
咯嗯可口可乐了,1,山东,美国入侵了乌克兰了呗！
数字交流,7,湖北,俄罗斯的忍耐程度我至今佩服！
秋之离歌,1,上海,原来是美国入侵了乌克兰？[捂脸]
足智多谋铅笔TM,2,山东,我不信了。
忆江南yue,1,浙江,说的没错，是美国先让普京打乌克兰，然后美国又让泽连斯基抵抗，这美国真坏
博学多才的苹果W1,1,湖南,伊拉克新闻发言人哈可夫有一比
羊驼的翅膀,2,贵州,哈哈
单纯星空KS,1,四川,主播的意思是大俄真听美帝的话，叫他打小乌他就去打小乌？
老周记录生活,8,上海,话风实变，说明什么呢
快跑,2,四川,两年前还没打的时候美国和俄国是怎么说的？
王哥9802,1,四川,逻辑
最爱萍果园,1,山东,万事不决看英国
小新,2,辽宁,手伸的太长了
蓝兔画江山,1,辽宁,[抠鼻]哦
高冷辰星Be,1,河北,美国能控制大鹅出兵吗？
热情的露珠I9,8,甘肃,言不及义
醉美诗文poetry,1,山东,能不能不这么搞笑？
立体车库配件专业制造,6,河北,逻辑不同
爱上唐诗宋词,7,山东,无语
咯嗯可口可乐了,1,山东,美国入侵了乌克兰了呗！
数字交流,7,湖北,俄罗斯的忍耐程度我至今佩服！
秋之离歌,1,上海,原来是美国入侵了乌克兰？[捂脸]
足智多谋铅笔TM,2,山东,我不信了。
忆江南yue,1,浙江,说的没错，是美国先让普京打乌克兰，然后美国又让泽连斯基抵抗，这美国真坏
博学多才的苹果W1,1,湖南,伊拉克新闻发言人哈可夫有一比
羊驼的翅膀,2,贵州,哈哈
单纯星空KS,1,四川,主播的意思是大俄真听美帝的话，叫他打小乌他就去打小乌？
奋发有为面条Dl,3,湖南,唉
快跑,2,四川,两年前还没打的时候美国和俄国是怎么说的？
王哥9802,1,四川,逻辑
最爱萍果园,1,山东,万事不决看英国
小新,2,辽宁,手伸的太长了
蓝兔画江山,1,辽宁,[抠鼻]哦
高冷辰星Be,1,河北,美国能控制大鹅出兵吗？
热情的露珠I9,8,甘肃,言不及义
醉美诗文poetry,1,山东,能不能不这么搞笑？
立体车库配件专业制造,6,河北,逻辑不同
爱上唐诗宋词,7,山东,无语
咯嗯可口可乐了,1,山东,美国入侵了乌克兰了呗！
数字交流,7,湖北,俄罗斯的忍耐程度我至今佩服！
秋之离歌,1,上海,原来是美国入侵了乌克兰？[捂脸]
